creato 1	creato uri 1	creato 2	creato uri 2	creato 3	creato uri 3	creato 4	creato uri 4	creato 5	creato uri 5	creato 6	creato uri 6	creato 7	creato uri 7	creato 8	creato uri 8	creato 9	creato uri 9	creato 10	creato uri 10	creato 11	creato uri 11	creato 12	creato uri 12	creato 13	creato uri 13	creato 14	creato uri 14	subjec	descri	title	langua	publis	dmrecord	losse	source	find	dmmodified	date	contri	identi	dmcreated
Lehmann-Russbüldt, Otto	http://viaf.org/viaf/92880916																													6. Pamfletten: Publications by Otto Lehmann- Rüssbuldt. (4x)	German; English		1111	Pamfletten Publications by Otto Lehmann- Rüssbuldt (4x) Lehmann-Russbüldt Otto	Lehmann-Rüssbuldt.2 (Otto)	1112.pdf	2021-07-06	1948 (?)		L08-32-009.pdf	2021-07-06
Lehmann-Rüssbuldt, Otto		Kanverau, Dr. Fritz		Küstler,Fritz		Lange, Oberst Hans		Ossichhy,Carl von		Schüaich, General von		Süning, Professor D.																		"26. """"Notizen über die verfolgten Deutschen Pazi- fisten: Dr. Fritz Kanverau, Fritz Küstler, Oberst Hans Lange, Carl von Ossichhy, General von Schüaich, Professor Dr. Süning""""."	German		1119	Notizen über die verfolgten Deutschen Pazi- fisten Dr Fritz Kanverau Fritz Küstler Oberst Hans Lange Carl von Ossichhy General von Schüaich Professor Dr Süning Lehmann-Rüssbuldt Otto Kanverau Dr Fritz Küstler Fritz Lange Oberst Hans Ossichhy Carl von Schüaich General von Süning Professor D	Lehmann-Rüssbuldt.6 (Otto)	1120.pdf	2021-07-06			L08-32-025.pdf	2021-07-06
Hugenholtz, Ds. J.B.Th.		Kooiman-Radijs, Mevr. Fie A.H.																												35. Briefkaart aan Ds. J.B.Th. Hugenholtz van Mevr. Fie A.H. Kooiman-Radijs, d.d.24 april 1933.	Dutch		1127	Briefkaart aan Ds J B Th Hugenholtz van Mevr Fie A H Kooiman-Radijs d d 24 april 193 Hugenholtz Ds J B Th Kooiman-Radijs Mevr Fie A H	Lehmann-Rüssbuldt.9 (Otto)	1128.pdf	2021-07-06	24-Apr-33		L08-32-032.pdf	2021-07-06
Ligt, Bart de	http://viaf.org/viaf/74651548																													"8. Brochure:""""Het einde van Nederland's onafhankelijkheid en neutraliteit"""""	Dutch		1135	Brochure Het einde van Nederland s onafhankelijkheid en neutraliteit Ligt Bart de	Ligt, Bart de.8	1136.pdf	2021-07-06	1934		L12-32-003.pdf	2021-07-06
Ligt, Bart de	http://viaf.org/viaf/74651548																													"2. Brochure: """"Veni Sancte Spiritus"""""	Dutch		1143	Brochure Veni Sancte Spiritus Ligt Bart de	Ligt, Bart de.1	1144.pdf	2021-07-06	1915		L12-32-011.pdf	2021-07-06
Ligt, Bart de	http://viaf.org/viaf/74651548																													"13. Pamflet: """"Oorlogsverhindering""""."	Dutch		1151	Pamflet Oorlogsverhindering Ligt Bart de	Ligt, Bart de.3	1152.pdf	2021-07-06			L12-32-019.pdf	2021-07-06
Heer, Johannes de																														"1. Boekje: """"Het Joodsche Vraagstuk""""."	Dutch		1159	Boekje Het Joodsche Vraagstuk Heer Johannes de	Juifs. (Joden)	1160.pdf	2021-07-06			J30-30-001.pdf	2021-07-06
Kagawa, Toyohiko	http://viaf.org/viaf/8759159248561204870002																													"15. Pamflet: """"Proposals for World Peace Based on International Cooperatives""""."	English		1167	Pamflet Proposals for World Peace Based on International Cooperatives Kagawa Toyohiko	Kagawa.3	1168.pdf	2021-07-06			K04-31-006.pdf	2021-07-06
Spiller, Mr. G. (secretary)																														"1. Folder: """"Seven Years World Campaign To End War. A Call to Action"""". (1925-1931)."""""	English		0	Folder Seven Years World Campaign To End War A Call to Action (1925-1931) Spiller Mr G (secretary)	World Campaign to end War.	1.pdf	2021-05-26	1924		W22-55-001.pdf	2021-05-26
Runham Brown, H.		Einstein, Albert	http://viaf.org/viaf/75121530																											12. War Resistance. A Practical Policy. An Account of the Movement which extends into fifty-six countries and ahs organised Sections in twenty-four. A Movement to stop War. 1931	English		8	War Resistance A Practical Policy An Account of the Movement which extends into fifty-six countries and ahs organised Sections in twenty-four A Movement to stop War 1931 Runham Brown H Einstein Albert	War Resisters' International.5	9.pdf	2021-05-26	1931		W08-2-54-008.pdf	2021-05-26
Jenkins, Hester D.																														"3. Manuscript: """"United Pacifist Conference. A report by Hester D. Jenkins. War Resisters League of New York City""""."	English		16	Manuscript United Pacifist Conference A report by Hester D Jenkins War Resisters League of New York City Jenkins Hester D	War Resister's League.	17.pdf	2021-05-26	11,12 maart 1939		W10-54-003.pdf	2021-05-26
Spiller, Mr. G. (secretary)																														"1. Folder: """"Seven Years World Campaign To End War. A Call to Action"""". (1925-1931)."""""	English		24	Folder Seven Years World Campaign To End War A Call to Action (1925-1931) Spiller Mr G (secretary)	World Campaign to end War.	25.pdf	2021-05-26	1924		W22-55-001.pdf	2021-05-26
Vredeskring van Nederland, Rotterdam.																														"1. Brochure: """"Vredesvrienden Vereenigt U!"""""	Dutch		32	Brochure Vredesvrienden Vereenigt U Vredeskring van Nederland Rotterdam	Vredeskring van Nederland.	33.pdf	2021-05-26			V26-53-001.pdf	2021-05-26
Neurath, Dr. Otto																														"7. Manuscript: """"Freiheit und Gewalt. Vortrag des Herrn Dr. Otto Neurath""""."	German		40	Manuscript Freiheit und Gewalt Vortrag des Herrn Dr Otto Neurath Neurath Dr Otto	Vredeskamer, Stichting De.2	41.pdf	2021-05-26	Den Haag, 26 oktober 1935		V25-1-53-002.pdf	2021-05-26
Kool van Kasteel, B.M.		Boer, L.M. de		Andel, J. van	http://viaf.org/viaf/24693534	Janssen, P.A.																								"1. Brochure: """"De Wereldbond voor Vrede en Vrij Internationaal Verkeer. Aan het Nederlandsche Volk"""". Uitgave: """"Wereldbond voor Vrede en Vrij Internationaal Verkeer"""", s'-Gravenhage."""""	Dutch		48	Brochure De Wereldbond voor Vrede en Vrij Internationaal Verkeer Aan het Nederlandsche Volk Uitgave Wereldbond voor Vrede en Vrij Internationaal Verkeer s -Gravenhage Kool van Kasteel B M Boer L M de Andel J van Janssen P A	Wereldbond voor Vrede en Vrij Internationaal Verkeer.	49.pdf	2021-05-26	1 augustus 1901		W18-55-004.pdf	2021-05-26
Warmelo, W.L. van	http://viaf.org/viaf/281446332																													" 4. Boek: """"De Misdaad van 1914. Hoe de geheime diplomatie den wereldoorlog van 1914 voorbereid en ontketend heeft""""."	Dutch		56	Boek De Misdaad van 191 Hoe de geheime diplomatie den wereldoorlog van 1914 voorbereid en ontketend heeft Warmelo W L van	Warmelo, W.L. van.1	57.pdf	2021-05-26	1931		W06-54-002.pdf	2021-05-26
Fenner Brockway, A.		Runham Brown, H.																												"6. Brochure: """"War Resisters' in Many lands. War Resisters' International Conference, Sonntagsberg, Austria, 27-31st July, 1928""""."	English		64	Brochure War Resisters in Many lands War Resisters International Conference Sonntagsberg Austria 27-31st July 1928 Fenner Brockway A Runham Brown H	War Resisters' International.2	65.pdf	2021-05-26	28-Jul		W08-1-54-005.pdf	2021-05-26
																												Theatre play; Peace Movement; Christmas;		"19. Toneelstuk: """"De Wonderbloem""""."	Dutch		72	Toneelstuk De Wonderbloem	Théatre et Musique.4	73.pdf	2021-08-11			T06-50-019.pdf	2021-05-27
Frevel, John C.		Haarlemsche Vredesspelers		Haarlemsche Leekesspelers		Oord-Zanstra, M.v.d.		Vink, C.		MacKaye, Hazel		Junior Red Cross  News		Jordan, Ethel Blair														Music; Theatre play; Peace Movement;	A short adaption of the Good Will, the Magician. Music: Daar is een licht. Donationform Haarlemsche Vredesspelers, Repertoire 'Haarlemsche Vredesspelers' Winter 1937, Repertoire Haarlemsche Vredesspelers September 1938, Rondschrijven van 'Haarlemsche Vredesspelers'	"Papers & materials from Theatre Group """"Haarlemsche Vredesspelers"""", around 1938. Also materials from Antwerp PAX puppet players. Informatiemateriaal, folders en circulaires van toneelgroep """"De Haarlemsche Leekespelers"""", ook bekend als """"Haarlemsche Vredessp"	Dutch		80	Papers & materials from Theatre Group Haarlemsche Vredesspelers around 193 Also materials from Antwerp PAX puppet players Informatiemateriaal folders en circulaires van toneelgroep De Haarlemsche Leekespelers ook bekend als Haarlemsche Vredessp Frevel John C	Théatre et Musique.6	81.pdf	2021-07-15	1937; 1938		T06-50-025.pdf	2021-05-27
Pfaundler, Dr. Richard von																														"6. Brochure: """"Les aspirations italiennes au Tyrol méridional allemand""""."	French		88	Brochure Les aspirations italiennes au Tyrol méridional allemand Pfaundler Dr Richard von	Tyrol Méridional.2	89.pdf	2021-05-27	1919		T12-50-006.pdf	2021-05-27
Foyer, Lucien Le																														"1. Rapport: """"Les Réarmements et la Conférence du Désarmement""""."	French		96	Rapport Les Réarmements et la Conférence du Désarmement Foyer Lucien Le	Union Internationale des Sociétés de la Paix.	97.pdf	2021-05-27	Brussel, 2 en 3 september 1935		U14-51-001.pdf	2021-05-27
																														"4. Krant: """"Die Schriftliche Welt. Evanglisches Gemeindeblatt für Gebildete aller Stände"""". Nrs. 44 en 46, 1912."""""	German		104	Krant Die Schriftliche Welt Evanglisches Gemeindeblatt für Gebildete aller Stände Nrs 44 en 46 191	Verband für Internationale Verständigung.	105.pdf	2021-05-27	1,14 november 1912		V04-52-004.pdf	2021-05-27
Vereeniging voor Volkenbond en Vrede																														5. Jaarverslag over het 1e verslagjaar (1919/1920) van de Vereeniging voor Volkenbond en Vrede.	Dutch		112	Jaarverslag over het 1e verslagjaar (1919/1920) van de Vereeniging voor Volkenbond en Vrede Vereeniging voor Volkenbond en Vrede	Volkenbond en Vrede.1	113.pdf	2021-05-27	1920		V10-1-52-007.pdf	2021-05-27
Cannegieter, H.G.																														"2. Boek: """"Persoonlijkheden. A. Viruly""""."	Dutch		120	Boek Persoonlijkheden A Viruly Cannegieter H G	Viruly, A.	121.pdf	2021-05-27			V14-52-004.pdf	2021-05-27
Mulder-de Clercq Zubli, F.																														"Theatre play: """"Vrijheid. Allegorie in 3 bedrijven""""."	Dutch		128	Theatre play Vrijheid Allegorie in 3 bedrijven Mulder-de Clercq Zubli F	Théatre et Musique.5	129.pdf	2021-05-27	1928, April		T06-50-021.pdf	2021-05-27
Union Internationale des Associations par la Société des Nations.																														"2. Brochure: """"Rapports annuels des associations""""."	French		136	Brochure Rapports annuels des associations Union Internationale des Associations par la Société des Nations	Union Internationale des Associations par la Société des Nations.1	137.pdf	2021-05-27	Oktober-December 1932		U12-51-002.pdf	2021-05-27
Union Universelle, Parijs.																														"1. Brochure: """"Pour Supprimer ce Crime : La Guerre. Vers la Réalisation du Plan Henri-Demont de 1908""""."	French		144	Brochure Pour Supprimer ce Crime La Guerre Vers la Réalisation du Plan Henri-Demont de 1908 Union Universelle Parijs	"Union Universelle.1 """"Pour supprimer ce crime : la guerre""""."	145.pdf	2021-05-27			U20-51-002.pdf	2021-05-27
Roland Holst, Henriëtte																														"1. Pamflet: """"Over Antimilitairistische Strijdmiddelen en hun gebruik""""."	Dutch		152	Pamflet Over Antimilitairistische Strijdmiddelen en hun gebruik Roland Holst Henriëtte	Vlaamsche Jongeren Vredes-Aktie.	153.pdf	2021-05-27	Juli 1934		V16-52-001.pdf	2021-05-27
Voogd, Drs. Jan de		Brand Corstius, Drs. Jan		Kuin, P, Jr.		Leeden, W.J.v.d.																								"5. Brochure: """"Jeugd en Nationalisme""""."	Dutch		1175	Brochure Jeugd en Nationalisme Voogd Drs Jan de Brand Corstius Drs Jan Kuin P Jr Leeden W J v d	Nationaal Jongeren Verbond.2	1176.pdf	2021-07-06			J23-28-010.pdf	2021-07-06
																														J.V.A. Congresgids Paschen, 15-16-17 april 1933	Dutch		1183	J V A Congresgids Paschen 15-16-17 april 1933	Jongeren Vredes-Actie.01	1184.pdf	2021-07-06	1933		J26-28-002.pdf	2021-07-06
																														1. Persberichten, circulaires, krantenknipsels.	Dutch		1191	Persberichten circulaires krantenknipsels	Jongeren Vredes-Actie.04	1192.pdf	2021-07-06	1931-1935		J26-3-28-001.pdf	2021-07-06
																														10. Pamflet i.v.m. werving fondsen t.b.v. Stichting Conferentiehuis J.V.A., Utrecht.	Dutch		1199	Pamflet i v m werving fondsen t b v Stichting Conferentiehuis J V A Utrecht	Jongeren Vredes-Actie.08	1200.pdf	2021-07-06			J26-4-29-007.pdf	2021-07-06
Jongeren Vredes Actie																														"31. Pamflet: """"J.V.A. Indische Studie-Conferentie te Noordwijk, 8 en 9 october 1927"""". (2x)"""""	Dutch		1207	Pamflet J V A Indische Studie-Conferentie te Noordwijk 8 en 9 october 1927 (2x) Jongeren Vredes Actie	Jongeren Vredes-Actie.16	1208.pdf	2021-07-06	1927		J26-5-29-003.pdf	2021-07-06
Hugenholtz, Ds. J.B.Th.																														8. Bewijs van toegang als deelnemer aan de ronde- tafel-conferentie belegd voor de anti-oorlogs- beweging in Nederland op 19 en 20 october (?), op naam van Ds. Hugenholtz.	Dutch		1215	Bewijs van toegang als deelnemer aan de ronde- tafel-conferentie belegd voor de anti-oorlogs- beweging in Nederland op 19 en 20 october ( ) op naam van Ds Hugenholtz Hugenholtz Ds J B Th	Jongeren Vredes-Actie.10	1216.pdf	2021-07-06			J26-5-29-010.pdf	2021-07-06
Roland Holst, Henriëtte																														"22. Brochure: """"Vlag en Lading""""."	Dutch		1223	Brochure Vlag en Lading Roland Holst Henriëtte	Jongeren Vredes-Actie.15	1224.pdf	2021-07-06			J26-6-29-011.pdf	2021-07-06
Dam, Mr. L.G. van																														"14. Brochure: """"Nationale Ontwapening""""."	Dutch		1231	Brochure Nationale Ontwapening Dam Mr L G van	Jongeren Vredes-Actie.13	1232.pdf	2021-07-06			J26-6-29-020.pdf	2021-07-06
Jongeren Vredes Actie, Afd. Arnhem.																														"1. Brochure: """"J.V.A. Over oorlog en vrede""""."	Dutch		1239	Brochure J V A Over oorlog en vrede Jongeren Vredes Actie Afd Arnhem	Jongeren Vredes-Actie.11	1240.pdf	2021-07-06			J26-6-29-028.pdf	2021-07-06
Voogd, Jan de	http://viaf.org/viaf/55447132																													32. Kontributiekaart t.b.v. kursus-konferenties der Jongeren Vredes Actie, 3 februari 1933, op naam van Jan de Voogd, Baarn.	Dutch		1247	Kontributiekaart t b v kursus-konferenties der Jongeren Vredes Actie 3 februari 1933 op naam van Jan de Voogd Baarn Voogd Jan de	Jongeren Vredes-Actie.17	1248.pdf	2021-07-06	3 februari 1933		J26-6-29-036.pdf	2021-07-06
Jongeren Vredes Federatie																														"6. Stencil: """"Het Vraagstuk van Oorlog en Vrede""""."	Dutch		1255	Stencil Het Vraagstuk van Oorlog en Vrede Jongeren Vredes Federatie	Jongeren Vredes Federatie.3	1256.pdf	2021-07-06	1934		J28-2-30-005.pdf	2021-07-06
Jongeren Vredes Federatie																														14. Onderwerpenlijst i.v.m. Kaderconferentie van de Jongeren Vredes Federatie op 8 en 9 februari 1936.	Dutch		1263	Onderwerpenlijst i v m Kaderconferentie van de Jongeren Vredes Federatie op 8 en 9 februari 193 Jongeren Vredes Federatie	Jongeren Vredes Federatie.7	1264.pdf	2021-07-06	1936		J28-3-30-009.pdf	2021-07-06
Müller, Arthur																														"6. Boekje: """"Pazifistisches Jugendbuch. Ein Ratgeber für Eltern und Erzieher""""."	German; Dutch		1271	Boekje Pazifistisches Jugendbuch Ein Ratgeber für Eltern und Erzieher Müller Arthur	Jeunesse en Général.2	1272.pdf	2021-07-06	1911		J06-25-006.pdf	2021-07-06
																														"5. Jeugdblad: """"La Jeunesse et la paix du monde"""". (Franse editie, 18 mei 1929, 1931, 1932, 1933, 1937."	French		1279	Jeugdblad La Jeunesse et la paix du monde (Franse editie 18 mei 1929 1931 1932 1933 193	Jeunesse et la Paix du Monde.1	1280.pdf	2021-07-06	1929,1930,1932 1933,1937		J08-25-005.pdf	2021-07-06
Lund, Diderich																														7. Brochure: Resistance in Norway.	English		1287	Brochure Resistance in Norway Lund Diderich	Jeunesse Congrès Mondial.02	1288.pdf	2021-07-06	Apr-45		J12-1-25-002.pdf	2021-07-06
Bastiaans, J.	http://viaf.org/viaf/2509051	Verkade, Mr. W.																												16. Brief van J. Bastiaans, Vereeniging voor Volkenbond en Vreede, Hilversum, aan Mr. W. Verkade, Utrecht d.d. 17 december 1934.	Dutch		1295	Brief van J Bastiaans Vereeniging voor Volkenbond en Vreede Hilversum aan Mr W Verkade Utrecht d d 17 december 193 Bastiaans J Verkade Mr W	Jeunesse Congrès Mondial.04	1296.pdf	2021-07-06	17-Dec-34		J12-2-26-003.pdf	2021-07-06
Shields-Collins, E.K. (Secretariaat)																														"3. Blad: """"World Youth Congress Bulletin"""". No. 3 - January-February 1937 No. 4-5, March-April 1937 No. 6 - October 1937"""""	English		1303	Blad World Youth Congress Bulletin No 3 - January-February 1937 No 4-5 March-April 1937 No 6 - October 1937 Shields-Collins E K (Secretariaat)	Jeunesse Congrès Mondial.11	1304.pdf	2021-07-06	1937		J12-27-003.pdf	2021-07-06
Fenna, Mr.		Beumer, H.M.		Veen, Ds. J.M. van		Voogd, Drs. G.J. de																								"2. Brochure: """"Jeugd Wil Vrede"""". Uitgave: J. Muusses, Purmerend."""""	Dutch		1311	Brochure Jeugd Wil Vrede Uitgave J Muusses Purmerend Fenna Mr Beumer H M Veen Ds J M van Voogd Drs G J de	Jeunesse Congrès Mondial.09	1312.pdf	2021-07-06	1936 (?)		J12-3-26-003.pdf	2021-07-06
Figgures, F.E.																														F.E. Figgures : World Youth Congres.	English		1319	F E Figgures World Youth Congres Figgures F E	Jeunesse Congrès Mondial.07b	1320.pdf	2021-07-06	Maart-augustus 1936		J12-3-26-007.pdf	2021-07-06
British Federation of Youth, London. Boissevain, Wibina (Jongeren Vredes Actie)																														"3. Brochure: """"Study Outline on Peace and War for the World Youth Peace Congress, Holland, August 1928."""""	English		1327	Brochure Study Outline on Peace and War for the World Youth Peace Congress Holland August 192 British Federation of Youth London Boissevain Wibina (Jongeren Vredes Actie)	Jeunesse Congrès Ommen.	1328.pdf	2021-07-06	1928		J14-27-002.pdf	2021-07-06
																														"5. Maandschrift: """"De Vrede-Dwinger!"""" Maandschrift van Kring Rotterdam der Wereld-Vredes- Padvinders. 1e jaargang, Februari 1936, No.1."""""	Dutch		1335	Maandschrift De Vrede-Dwinger Maandschrift van Kring Rotterdam der Wereld-Vredes- Padvinders 1e jaargang Februari 1936 No	Jeunesse Eclaireurs.2 (Padvinderij)	1336.pdf	2021-07-06	Februari 1936		J16-27-006.pdf	2021-07-06
